	AM-AD-1	AM-AD-2	AM-F10-T1	AM-F10-T2	DA-AD-1	DA-AD-1T	DA-AD-2	DA-AD-3	DA-AD-3T	DA-AD-4	ES-AD-1	ES-AD-2	ES-AD-3	ES-AD-4	FR-AD-1	FR-AD-2	FR-AD-3	FR-AD-4	FR-AD-5	FR-AD-6	FR-AD-7	FR-AD-8	IT-AD-1	IT-AD-2	IT-AD-3	IT-AD-4	IT-AD-5	IT-AD-6	JP-AD-1	JP-AD-2	JP-AD-3	JP-AD-4	JP-AD-5	JP-AD-6	JP-AD-7	JP-AD-8	JP-AD-9	JP-IN-1	JP-IN-2	JP-IN-3	JP-IN-4
Coraliomargarita	1.55E-05	0	8.04E-06	9.19E-06	4.21E-06	1.08E-05	2.23E-05	7.36E-05	4.62E-05	4.43E-05	1.34E-05	3.94E-05	0	4.35E-06	4.79E-05	1.76E-05	8.63E-06	4.16E-05	1.54E-05	0	0	8.88E-06	0	3.46E-05	0	0	5.92E-05	4.31E-05	0	3.74E-05	0	1.27E-05	1.26E-05	1.26E-05	1.34E-05	1.25E-05	1.23E-05	0	0	0	0
Corynebacterium	0.000186191	1.34E-05	3.62E-05	0.000291688	5.47E-05	3.49E-05	0.000155816	8.66E-05	4.43E-05	0.000110667	1.34E-05	4.38E-05	4.64E-05	1.31E-05	0.000127767	0.000264415	3.45E-05	0.000116451	0.000123352	0.000194255	3.42E-05	2.67E-05	0.000542089	9.51E-05	0.000111386	0.000119784	6.77E-05	6.89E-05	5.13E-05	0.000199556	6.28E-05	3.82E-05	0.000201071	6.32E-05	0	2.51E-05	1.23E-05	0	0.000776339	0.002329887	0.000792967
Coxiella	1.55E-05	0	0	0	0	1.20E-06	0	4.33E-06	5.54E-06	1.33E-05	0	4.38E-06	4.22E-06	0	0	1.76E-05	0	8.32E-06	7.71E-06	0	0	0	0	8.65E-06	0	0	0	8.62E-06	0	1.25E-05	7.54E-05	1.27E-05	0	0	0	0	0	0	0	0	0
Croceibacter	0	0	8.04E-06	0	0	4.82E-06	8.90E-06	1.30E-05	1.29E-05	1.77E-05	0	7.01E-05	8.45E-06	0	0	2.64E-05	8.63E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26E-05	0	1.25E-05	0	0	0	0	0
Crocosphaera	0	0	4.02E-06	0	4.21E-06	1.20E-06	0	0	1.85E-06	4.43E-06	0	4.38E-06	0	0	0	0	0	8.32E-06	0	0	0	0	0	0	8.57E-06	0	0	8.62E-06	0	0	0	0	0	0	0	0	0	0	0	0	1.15E-05
Cronobacter	0	0	8.04E-06	0	0	2.41E-06	0	4.33E-06	1.66E-05	4.43E-06	0	0	0	4.35E-06	0	0	0	8.32E-06	0	2.53E-05	0	8.88E-06	0	3.46E-05	0	0	8.46E-06	0	0	0	5.03E-05	0	1.26E-05	1.26E-05	0	1.25E-05	0	0.000639843	0	0	1.15E-05
Cryptobacterium	0.000449961	0.000241994	4.02E-06	4.59E-05	4.21E-05	1.45E-05	0.000173623	6.06E-05	2.03E-05	5.31E-05	8.94E-06	2.19E-05	5.91E-05	1.31E-05	0.000127767	7.93E-05	2.59E-05	8.32E-05	0.000100224	0.00010135	0.000102601	0.000124371	2.58E-05	0.000164347	8.57E-05	7.70E-05	0.000143886	8.62E-05	1.28E-05	4.99E-05	6.28E-05	6.37E-05	2.51E-05	0	1.34E-05	0	0	0	0	1.26E-05	0
Cupriavidus	1.55E-05	0	0	2.30E-06	4.21E-06	1.33E-05	1.78E-05	3.46E-05	9.24E-06	1.33E-05	0	0	1.27E-05	1.74E-05	3.99E-05	0	2.59E-05	8.32E-06	7.71E-06	0	1.71E-05	1.78E-05	8.60E-06	1.73E-05	0	0	1.69E-05	8.62E-06	2.57E-05	1.25E-05	2.51E-05	0	3.77E-05	1.26E-05	0	0	0	3.76E-05	0	0	5.75E-05
Cyanothece	4.65E-05	0	2.41E-05	1.15E-05	4.63E-05	9.16E-05	0.000102393	3.03E-05	4.62E-05	3.54E-05	1.79E-05	6.57E-05	5.49E-05	3.92E-05	1.60E-05	6.17E-05	6.04E-05	4.16E-05	6.94E-05	3.38E-05	4.28E-05	3.55E-05	3.44E-05	6.05E-05	2.57E-05	2.57E-05	4.23E-05	1.72E-05	5.13E-05	2.49E-05	2.51E-05	0	2.51E-05	3.79E-05	1.34E-05	2.51E-05	1.23E-05	0	0	0	0
Cylindrospermopsis	0	0	8.04E-06	0	0	0	0	0	5.54E-06	0	0	4.38E-06	0	4.35E-06	7.99E-06	8.81E-06	0	8.32E-06	1.54E-05	0	0	0	0	8.65E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
